dataset,activity,date
all,mitogenome assembly,2017.08.06
all,generate uk species list,2017.12.20
all,clean uk species list,2018.11.29
all,download mtDNA all uk species,2018.12.04
12s.miya,generate rmarkdown report,2018.12.04
12s.miya,generate hmms,2017.08.06
coi.lerayxt,generate hmms,2018.08.07
coi.seamid,generate hmms,2018.08.07
coi.seashort,generate hmms,2018.08.07
12s.riaz,generate hmms,2018.10.27
12s.valentini,generate hmms,2018.10.27
12s.taberlet,generate hmms,2018.11.12
12s.miya,generate references csv,2018.12.05
coi.lerayxt,generate references csv,2018.12.05
coi.seamid,generate references csv,2018.12.05
coi.seashort,generate references csv,2018.12.05
12s.riaz,generate references csv,2018.12.05
12s.valentini,generate references csv,2018.12.05
12s.taberlet,generate references csv,2018.12.05
