source,species
FishBase,Abramis brama
FishBase,Acantholabrus palloni
FishBase,Acipenser ruthenus
FishBase,Acipenser sturio
FishBase,Agonus cataphractus
FishBase,Alburnus alburnus
FishBase,Alepisaurus ferox
FishBase,Alepocephalus agassizii
FishBase,Alepocephalus bairdii
FishBase,Alepocephalus rostratus
FishBase,Alopias vulpinus
FishBase,Alosa alosa
FishBase,Alosa fallax
FishBase,Ambloplites rupestris
FishBase,Amblyraja hyperborea
FishBase,Amblyraja radiata
FishBase,Ameiurus melas
FishBase,Ameiurus nebulosus
FishBase,Ammodytes marinus
FishBase,Ammodytes tobianus
FishBase,Anarhichas denticulatus
FishBase,Anarhichas lupus
FishBase,Anguilla anguilla
FishBase,Anoplogaster cornuta
FishBase,Aphanopus carbo
FishBase,Aphia minuta
FishBase,Apletodon dentatus
FishBase,Arctozenus risso
FishBase,Argentina silus
FishBase,Argentina sphyraena
FishBase,Argyropelecus hemigymnus
FishBase,Argyropelecus olfersii
FishBase,Argyrosomus regius
FishBase,Arnoglossus imperialis
FishBase,Arnoglossus laterna
FishBase,Arnoglossus thori
FishBase,Artediellus atlanticus
FishBase,Atherina boyeri
FishBase,Atherina presbyter
FishBase,Auxis rochei
FishBase,Auxis thazard
FishBase,Avocettina infans
FishBase,Balistes capriscus
FishBase,Barbatula barbatula
FishBase,Barbus barbus
FishBase,Bathylagus euryops
FishBase,Bathyraja spinicauda
FishBase,Bathysaurus ferox
FishBase,Bathysolea profundicola
FishBase,Belone belone
FishBase,Belone svetovidovi
FishBase,Beryx decadactylus
FishBase,Blennius ocellaris
FishBase,Blicca bjoerkna
FishBase,Boops boops
FishBase,Brama brama
FishBase,Brosme brosme
FishBase,Buenia jeffreysii
FishBase,Buglossidium luteum
FishBase,Callanthias ruber
FishBase,Callionymus lyra
FishBase,Callionymus maculatus
FishBase,Callionymus reticulatus
FishBase,Campogramma glaycos
FishBase,Capros aper
FishBase,Carassius auratus
FishBase,Carassius carassius
FishBase,Cataetyx laticeps
FishBase,Centrolabrus exoletus
FishBase,Centrolophus niger
FishBase,Centrophorus squamosus
FishBase,Centroscyllium fabricii
FishBase,Centroscymnus coelolepis
FishBase,Centroscymnus crepidater
FishBase,Cepola macrophthalma
FishBase,Ceratias holboelli
FishBase,Cetorhinus maximus
FishBase,Cheilopogon heterurus
FishBase,Chelidonichthys cuculus
FishBase,Chelidonichthys lastoviza
FishBase,Chelidonichthys lucerna
FishBase,Chelidonichthys obscurus
FishBase,Chelon aurata
FishBase,Chelon labrosus
FishBase,Chelon ramada
FishBase,Chimaera monstrosa
FishBase,Chimaera opalescens
FishBase,Chirolophis ascanii
FishBase,Chlamydoselachus anguineus
FishBase,Ciliata mustela
FishBase,Ciliata septentrionalis
FishBase,Clupea harengus
FishBase,Cobitis taenia
FishBase,Coelorinchus caelorhincus
FishBase,Coelorinchus labiatus
FishBase,Conger conger
FishBase,Coptodon zillii
FishBase,Coregonus albula
FishBase,Coregonus autumnalis
FishBase,Coregonus clupeoides
FishBase,Coregonus lavaretus
FishBase,Coregonus pennantii
FishBase,Coregonus stigmaticus
FishBase,Coregonus vandesius
FishBase,Coris julis
FishBase,Coryphaenoides armatus
FishBase,Coryphaenoides guentheri
FishBase,Coryphaenoides rupestris
FishBase,Coryphoblennius galerita
FishBase,Cottunculus microps
FishBase,Cottus gobio
FishBase,Cottus perifretum
FishBase,Crystallogobius linearis
FishBase,Ctenolabrus rupestris
FishBase,Cubiceps gracilis
FishBase,Cyclopterus lumpus
FishBase,Cyprinus carpio
FishBase,Dactylopterus volitans
FishBase,Dalatias licha
FishBase,Dasyatis pastinaca
FishBase,Deania calcea
FishBase,Dentex dentex
