class,order,family,genus,species,specCode,commonName,sciName,commonSpecies,synonym
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,ruthenus,4604,Sterlet sturgeon,Acipenser ruthenus,FALSE,FALSE
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,sturio,2066,Sturgeon,Acipenser sturio,FALSE,FALSE
Actinopterygii,Anguilliformes,Anguillidae,Anguilla,anguilla,35,European eel,Anguilla anguilla,TRUE,FALSE
Actinopterygii,Anguilliformes,Anguillidae,Anguilla,bengalensis,1272,Indian mottled eel,Anguilla bengalensis,FALSE,FALSE
Actinopterygii,Anguilliformes,Congridae,Conger,conger,301,European conger,Conger conger,TRUE,FALSE
Actinopterygii,Anguilliformes,Derichthyidae,Nessorhamphus,ingolfianus,9100,Duckbill oceanic eel,Nessorhamphus ingolfianus,FALSE,FALSE
Actinopterygii,Anguilliformes,Muraenidae,Muraena,helena,1729,Mediterranean moray,Muraena helena,FALSE,FALSE
Actinopterygii,Anguilliformes,Nemichthyidae,Avocettina,infans,5099,Avocet snipe eel,Avocettina infans,FALSE,FALSE
Actinopterygii,Anguilliformes,Nemichthyidae,Nemichthys,scolopaceus,2660,Slender snipe eel,Nemichthys scolopaceus,FALSE,FALSE
Actinopterygii,Anguilliformes,Serrivomeridae,Serrivomer,beanii,7477,Stout sawpalate,Serrivomer beanii,FALSE,FALSE
Actinopterygii,Anguilliformes,Synaphobranchidae,Histiobranchus,bathybius,6958,Deep-water arrowtooth eel,Histiobranchus bathybius,FALSE,FALSE
Actinopterygii,Anguilliformes,Synaphobranchidae,Ilyophis,blachei,54784,NA,Ilyophis blachei,FALSE,FALSE
Actinopterygii,Anguilliformes,Synaphobranchidae,Simenchelys,parasitica,9102,Snubnosed eel,Simenchelys parasitica,FALSE,FALSE
Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus,kaupii,9104,Kaup's arrowtooth eel,Synaphobranchus kaupii,FALSE,FALSE
Actinopterygii,Atheriniformes,Atherinidae,Atherina,boyeri,1696,Big-scale sand smelt,Atherina boyeri,TRUE,FALSE
Actinopterygii,Atheriniformes,Atherinidae,Atherina,presbyter,45,Sand smelt,Atherina presbyter,TRUE,FALSE
Actinopterygii,Aulopiformes,Alepisauridae,Alepisaurus,ferox,99,Long snouted lancetfish,Alepisaurus ferox,FALSE,FALSE
Actinopterygii,Aulopiformes,Bathysauridae,Bathysaurus,ferox,11841,Deep-sea lizardfish,Bathysaurus ferox,FALSE,FALSE
Actinopterygii,Aulopiformes,Evermannellidae,Evermannella,balbo,1796,Balbo sabretooth,Evermannella balbo,FALSE,FALSE
Actinopterygii,Aulopiformes,Ipnopidae,Bathypterois,dubius,9133,Mediterranean spiderfish,Bathypterois dubius,FALSE,FALSE
Actinopterygii,Aulopiformes,Notosudidae,Scopelosaurus,lepidus,9159,Blackfin waryfish,Scopelosaurus lepidus,FALSE,FALSE
Actinopterygii,Aulopiformes,Paralepididae,Arctozenus,risso,6977,Spotted barracudina,Arctozenus risso,FALSE,FALSE
Actinopterygii,Aulopiformes,Paralepididae,Magnisudis,atlantica,2727,Duckbill barracudina,Magnisudis atlantica,FALSE,FALSE
Actinopterygii,Aulopiformes,Paralepididae,Paralepis,coregonoides,1757,Sharpchin barracudina,Paralepis coregonoides,FALSE,FALSE
Actinopterygii,Beloniformes,Belonidae,Belone,belone,47,Garfish,Belone belone,TRUE,FALSE
Actinopterygii,Beloniformes,Belonidae,Belone,svetovidovi,9195,NA,Belone svetovidovi,FALSE,FALSE
Actinopterygii,Beloniformes,Exocoetidae,Cheilopogon,heterurus,1029,Mediterranean flyingfish,Cheilopogon heterurus,FALSE,FALSE
Actinopterygii,Beloniformes,Exocoetidae,Hirundichthys,rondeletii,1035,Black wing flyingfish,Hirundichthys rondeletii,FALSE,FALSE
Actinopterygii,Beloniformes,Scomberesocidae,Scomberesox,saurus,1084,Atlantic saury,Scomberesox saurus,FALSE,FALSE
Actinopterygii,Beryciformes,Anoplogastridae,Anoplogaster,cornuta,2308,Common fangtooth,Anoplogaster cornuta,FALSE,FALSE
Actinopterygii,Beryciformes,Berycidae,Beryx,decadactylus,1319,Alfonsino,Beryx decadactylus,FALSE,FALSE
Actinopterygii,Beryciformes,Diretmidae,Diretmus,argenteus,4958,Silver spinyfin,Diretmus argenteus,FALSE,FALSE
Actinopterygii,Beryciformes,Trachichthyidae,Gephyroberyx,darwinii,4962,Darwin's slimehead,Gephyroberyx darwinii,FALSE,FALSE
Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,atlanticus,334,Orange roughy,Hoplostethus atlanticus,FALSE,FALSE
Actinopterygii,Beryciformes,Trachichthyidae,Hoplostethus,mediterraneus,4964,Mediterranean slimehead,Hoplostethus mediterraneus,FALSE,FALSE
Actinopterygii,Clupeiformes,Clupeidae,Alosa,alosa,101,Allis shad,Alosa alosa,TRUE,FALSE
Actinopterygii,Clupeiformes,Clupeidae,Alosa,fallax,5355,Twaite shad,Alosa fallax,FALSE,FALSE
Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,24,Atlantic herring,Clupea harengus,TRUE,FALSE
Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,1350,European pilchard,Sardina pilchardus,TRUE,FALSE
Actinopterygii,Clupeiformes,Clupeidae,Sprattus,sprattus,1357,European sprat,Sprattus sprattus,TRUE,FALSE
Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,66,European anchovy,Engraulis encrasicolus,TRUE,FALSE
Actinopterygii,Cypriniformes,Cobitidae,Cobitis,taenia,6378,Spined loach,Cobitis taenia,FALSE,FALSE
Actinopterygii,Cypriniformes,Cobitidae,Misgurnus,fossilis,4790,Weatherfish,Misgurnus fossilis,FALSE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Abramis,brama,268,Freshwater bream,Abramis brama,TRUE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,alburnus,4730,Bleak,Alburnus alburnus,TRUE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Barbus,barbus,4472,Barbel,Barbus barbus,TRUE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Blicca,bjoerkna,4471,White bream,Blicca bjoerkna,FALSE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,271,Goldfish,Carassius auratus,TRUE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Carassius,carassius,270,Crucian carp,Carassius carassius,TRUE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,1450,Common carp,Cyprinus carpio,TRUE,FALSE
Actinopterygii,Cypriniformes,Cyprinidae,Gobio,gobio,4478,Gudgeon,Gobio gobio,TRUE,FALSE
