NC_027437_Rhodeus_fangi	TOPOLOGY		circular	
	source	1..16733	ff_definition	NC_027437_Rhodeus_fangi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027437_Rhodeus_fangi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2857..3831	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4046..5090	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5090,aa:TERM)
			transl_table	2
	CDS	5477..7027	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7180..7870	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7870,aa:TERM)
			transl_table	2
	CDS	7948..8112	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8106..8788	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8787..8788,aa:TERM)
			transl_table	2
	CDS	8789..9572	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9572,aa:TERM)
			transl_table	2
	CDS	9644..9994	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10205..10525	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10519..11900	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11899..11900,aa:TERM)
			transl_table	2
	CDS	12113..13948	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13945..14466)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14541..15681	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15681,aa:TERM)
			transl_table	2
	rRNA	69..1029	product	12S rRNA
	rRNA	1102..2780	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1030..1101	product	tRNA-Val
	tRNA	2781..2856	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3836..3907	product	tRNA-Ile
	tRNA	complement(3906..3976)	product	tRNA-Gln
	tRNA	3978..4045	product	tRNA-Met
	tRNA	5091..5161	product	tRNA-Trp
	tRNA	complement(5163..5231)	product	tRNA-Ala
	tRNA	complement(5233..5305)	product	tRNA-Asn
	tRNA	complement(5338..5405)	product	tRNA-Cys
	tRNA	complement(5406..5475)	product	tRNA-Tyr
	tRNA	complement(7028..7098)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7101..7170	product	tRNA-Asp
	tRNA	7871..7946	product	tRNA-Lys
	tRNA	9573..9643	product	tRNA-Gly
	tRNA	10078..10147	product	tRNA-Arg
	tRNA	11901..11969	product	tRNA-His
	tRNA	11970..12038	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	12040..12112	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14467..14535)	product	tRNA-Glu
	tRNA	15682..15754	product	tRNA-Thr
	tRNA	complement(15754..15823)	product	tRNA-Pro
	D-loop	15824..16733	note	control region
