NC_027968_Centropyge_heraldi	TOPOLOGY		circular	
	source	1..16836	ff_definition	NC_027968_Centropyge_heraldi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027968_Centropyge_heraldi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2871..3845	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4058..5104	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5523..7073	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7229..7919	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7919,aa:TERM)
			transl_table	2
	CDS	7996..8163	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8154..8836	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8835..8836,aa:TERM)
			transl_table	2
	CDS	8837..9621	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9620..9621,aa:TERM)
			transl_table	2
	CDS	9694..10042	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10042,aa:TERM)
			transl_table	2
	CDS	10112..10408	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10402..11782	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11782,aa:TERM)
			transl_table	2
	CDS	11996..13834	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13831..14352)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14426..15566	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15566,aa:TERM)
			transl_table	2
	rRNA	69..1018	product	12S rRNA
	rRNA	1091..2794	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1019..1090	product	tRNA-Val
	tRNA	2795..2870	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3849..3918	product	tRNA-Ile
	tRNA	complement(3918..3988)	product	tRNA-Gln
	tRNA	3988..4057	product	tRNA-Met
	tRNA	5131..5203	product	tRNA-Trp
	tRNA	complement(5204..5272)	product	tRNA-Ala
	tRNA	complement(5275..5347)	product	tRNA-Asn
	tRNA	complement(5384..5451)	product	tRNA-Cys
	tRNA	complement(5452..5521)	product	tRNA-Tyr
	tRNA	complement(7075..7145)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7150..7221	product	tRNA-Asp
	tRNA	7920..7994	product	tRNA-Lys
	tRNA	9622..9693	product	tRNA-Gly
	tRNA	10043..10111	product	tRNA-Arg
	tRNA	11783..11852	product	tRNA-His
	tRNA	11853..11919	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11923..11995	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14353..14421)	product	tRNA-Glu
	tRNA	15567..15638	product	tRNA-Thr
	tRNA	complement(15638..15707)	product	tRNA-Pro
	D-loop	15708..16836	note	control region
