NC_024921_Heteromycteris_japonicus	TOPOLOGY		circular	
	source	1..17111	ff_definition	NC_024921_Heteromycteris_japonicus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_024921_Heteromycteris_japonicus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2849..3823	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4040..5089	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5541..7091	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7241..7931	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7931,aa:TERM)
			transl_table	2
	CDS	8009..8176	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8167..8849	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8848..8849,aa:TERM)
			transl_table	2
	CDS	8850..9637	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9636..9637,aa:TERM)
			transl_table	2
	CDS	9707..10055	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10055,aa:TERM)
			transl_table	2
	CDS	10125..10421	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10415..11795	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11795,aa:TERM)
			transl_table	2
	CDS	12009..13862	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13866..14393)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14467..15613	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15613,aa:TERM)
			transl_table	2
	rRNA	70..1007	product	12S rRNA
	rRNA	1082..2775	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1008..1081	product	tRNA-Val
	tRNA	2776..2848	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3830..3899	product	tRNA-Ile
	tRNA	complement(3899..3969)	product	tRNA-Gln
	tRNA	3969..4038	product	tRNA-Met
	tRNA	5137..5205	product	tRNA-Trp
	tRNA	complement(5225..5293)	product	tRNA-Ala
	tRNA	complement(5295..5367)	product	tRNA-Asn
	tRNA	complement(5404..5468)	product	tRNA-Cys
	tRNA	complement(5469..5539)	product	tRNA-Tyr
	tRNA	complement(7092..7162)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7165..7235	product	tRNA-Asp
	tRNA	7932..8006	product	tRNA-Lys
	tRNA	9638..9706	product	tRNA-Gly
	tRNA	10056..10124	product	tRNA-Arg
	tRNA	11796..11864	product	tRNA-His
	tRNA	11865..11932	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11936..12008	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14394..14462)	product	tRNA-Glu
	tRNA	15614..15685	product	tRNA-Thr
	tRNA	complement(15685..15755)	product	tRNA-Pro
	D-loop	15756..17111	note	control region
