NC_027663_Cobitis_biwae	TOPOLOGY		circular	
	source	1..16642	ff_definition	NC_027663_Cobitis_biwae mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_027663_Cobitis_biwae
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2851..3825	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4043..5087	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5087,aa:TERM)
			transl_table	2
	CDS	5468..7018	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7178..7876	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	8013..8180	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8171..8853	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8852..8853,aa:TERM)
			transl_table	2
	CDS	8854..9637	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9637,aa:TERM)
			transl_table	2
	CDS	9711..10059	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10059,aa:TERM)
			transl_table	2
	CDS	10130..10426	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10420..11801	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11800..11801,aa:TERM)
			transl_table	2
	CDS	12013..13851	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13848..14369)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14445..15585	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15585,aa:TERM)
			transl_table	2
	rRNA	70..1021	product	12S rRNA
	rRNA	1094..2774	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1022..1093	product	tRNA-Val
	tRNA	2775..2849	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3832..3903	product	tRNA-Ile
	tRNA	complement(3902..3972)	product	tRNA-Gln
	tRNA	3974..4042	product	tRNA-Met
	tRNA	5088..5157	product	tRNA-Trp
	tRNA	complement(5159..5227)	product	tRNA-Ala
	tRNA	complement(5229..5301)	product	tRNA-Asn
	tRNA	complement(5332..5397)	product	tRNA-Cys
	tRNA	complement(5398..5466)	product	tRNA-Tyr
	tRNA	complement(7020..7090)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7093..7164	product	tRNA-Asp
	tRNA	7936..8011	product	tRNA-Lys
	tRNA	9638..9710	product	tRNA-Gly
	tRNA	10060..10129	product	tRNA-Arg
	tRNA	11802..11870	product	tRNA-His
	tRNA	11871..11938	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11940..12012	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14370..14438)	product	tRNA-Glu
	tRNA	15586..15657	product	tRNA-Thr
	tRNA	complement(15656..15725)	product	tRNA-Pro
	D-loop	15726..16642	note	control region
