NC_014281_Callorhinchus_callorynchus	TOPOLOGY		circular	
	source	1..16758	ff_definition	NC_014281_Callorhinchus_callorynchus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_014281_Callorhinchus_callorynchus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2819..3778	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	3992..5033	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5033,aa:TERM)
			transl_table	2
	CDS	5423..6982	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7120..7810	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7810,aa:TERM)
			transl_table	2
	CDS	7883..8047	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8038..8720	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8719..8720,aa:TERM)
			transl_table	2
	CDS	8721..9506	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9576..9924	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9924,aa:TERM)
			transl_table	2
	CDS	9994..10290	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10284..11659	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11658..11659,aa:TERM)
			transl_table	2
	CDS	11869..13692	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13689..14210)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14283..15422	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	69..1020	product	12S rRNA
	rRNA	1092..2743	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1021..1091	product	tRNA-Val
	tRNA	2744..2818	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3784..3853	product	tRNA-Ile
	tRNA	complement(3853..3923)	product	tRNA-Gln
	tRNA	3923..3991	product	tRNA-Met
	tRNA	5034..5102	product	tRNA-Trp
	tRNA	complement(5105..5173)	product	tRNA-Ala
	tRNA	complement(5175..5247)	product	tRNA-Asn
	tRNA	complement(5289..5353)	product	tRNA-Cys
	tRNA	complement(5354..5421)	product	tRNA-Tyr
	tRNA	complement(6970..7041)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7049..7117	product	tRNA-Asp
	tRNA	7811..7882	product	tRNA-Lys
	tRNA	9507..9575	product	tRNA-Gly
	tRNA	9925..9993	product	tRNA-Arg
	tRNA	11660..11728	product	tRNA-His
	tRNA	11729..11796	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11797..11868	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14211..14279)	product	tRNA-Glu
	tRNA	15427..15497	product	tRNA-Thr
	tRNA	complement(15498..15566)	product	tRNA-Pro
	D-loop	15567..16758	note	control region
