NC_034771_Narcine_brasiliensis	TOPOLOGY		circular	
	source	1..16997	ff_definition	NC_034771_Narcine_brasiliensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_034771_Narcine_brasiliensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2879..3853	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4066..5109	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5502..7061	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7209..7901	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			transl_table	2
	CDS	7980..8147	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8138..8776	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_table	2
	CDS	8849..9607	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9681..10030	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10029..10030,aa:TERM)
			transl_table	2
	CDS	10102..10398	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10392..11774	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	11986..13809	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13797..14312)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14387..15526	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	79..1042	product	12S rRNA
	rRNA	1043..2803	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	2804..2878	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3855..3924	product	tRNA-Ile
	tRNA	complement(3923..3992)	product	tRNA-Gln
	tRNA	3996..4064	product	tRNA-Met
	tRNA	5112..5180	product	tRNA-Trp
	tRNA	complement(5183..5251)	product	tRNA-Ala
	tRNA	complement(5253..5325)	product	tRNA-Asn
	tRNA	complement(5360..5427)	product	tRNA-Cys
	tRNA	complement(5431..5500)	product	tRNA-Tyr
	tRNA	complement(7065..7135)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7136..7206	product	tRNA-Asp
	tRNA	7903..7978	product	tRNA-Lys
	tRNA	8777..8838	product	tRNA-Val
	tRNA	9609..9680	product	tRNA-Gly
	tRNA	10031..10101	product	tRNA-Arg
	tRNA	11775..11843	product	tRNA-His
	tRNA	11844..11911	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11913..11984	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14315..14383)	product	tRNA-Glu
	tRNA	15529..15601	product	tRNA-Thr
	tRNA	complement(15606..15674)	product	tRNA-Pro
	D-loop	15675..16997	note	control region
