NC_020651_Polypterus_ansorgii	TOPOLOGY		circular	
	source	1..16627	ff_definition	NC_020651_Polypterus_ansorgii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_020651_Polypterus_ansorgii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2820..3778	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3777..3778,aa:TERM)
			transl_table	2
	CDS	3988..5023	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5023,aa:TERM)
			transl_table	2
	CDS	5417..6973	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7110..7800	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7800,aa:TERM)
			transl_table	2
	CDS	7874..8041	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8032..8714	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8713..8714,aa:TERM)
			transl_table	2
	CDS	8715..9499	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9498..9499,aa:TERM)
			transl_table	2
	CDS	9570..9915	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9915,aa:TERM)
			transl_table	2
	CDS	9986..10282	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10276..11653	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11653,aa:TERM)
			transl_table	2
	CDS	11863..13704	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13700..14203)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14276..15416	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15416,aa:TERM)
			transl_table	2
	rRNA	72..1018	product	12S rRNA
	rRNA	1090..2744	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1019..1089	product	tRNA-Val
	tRNA	2745..2819	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3779..3849	product	tRNA-Ile
	tRNA	complement(3848..3918)	product	tRNA-Gln
	tRNA	3918..3987	product	tRNA-Met
	tRNA	5024..5093	product	tRNA-Trp
	tRNA	complement(5099..5167)	product	tRNA-Ala
	tRNA	complement(5169..5241)	product	tRNA-Asn
	tRNA	complement(5278..5344)	product	tRNA-Cys
	tRNA	complement(5345..5415)	product	tRNA-Tyr
	tRNA	complement(6965..7035)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7038..7106	product	tRNA-Asp
	tRNA	7801..7873	product	tRNA-Lys
	tRNA	9500..9569	product	tRNA-Gly
	tRNA	9916..9985	product	tRNA-Arg
	tRNA	11654..11722	product	tRNA-His
	tRNA	11723..11788	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11791..11862	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14204..14272)	product	tRNA-Glu
	tRNA	15417..15487	product	tRNA-Thr
	tRNA	complement(15487..15555)	product	tRNA-Pro
	D-loop	15556..16627	note	control region
