NC_013866_Melanocetus_johnsonii	TOPOLOGY		circular	
	source	1..16871	ff_definition	NC_013866_Melanocetus_johnsonii mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013866_Melanocetus_johnsonii
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2868..3842	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4054..5099	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5098..5099,aa:TERM)
			transl_table	2
	CDS	5487..7037	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7194..7884	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7884,aa:TERM)
			transl_table	2
	CDS	7960..8127	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8106..8801	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	9208..9992	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9991..9992,aa:TERM)
			transl_table	2
	CDS	10065..10413	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10413,aa:TERM)
			transl_table	2
	CDS	10483..10779	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10773..12153	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:12153,aa:TERM)
			transl_table	2
	CDS	12366..14204	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14201..14722)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14796..15936	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15936,aa:TERM)
			transl_table	2
	rRNA	69..1025	product	12S rRNA
	rRNA	1098..2793	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1026..1097	product	tRNA-Val
	tRNA	2794..2867	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3847..3915	product	tRNA-Ile
	tRNA	complement(3915..3985)	product	tRNA-Gln
	tRNA	3985..4053	product	tRNA-Met
	tRNA	5100..5171	product	tRNA-Trp
	tRNA	complement(5172..5240)	product	tRNA-Ala
	tRNA	complement(5242..5314)	product	tRNA-Asn
	tRNA	complement(5351..5415)	product	tRNA-Cys
	tRNA	complement(5416..5485)	product	tRNA-Tyr
	tRNA	complement(7039..7109)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7114..7185	product	tRNA-Asp
	tRNA	7885..7958	product	tRNA-Lys
	tRNA	9993..10064	product	tRNA-Gly
	tRNA	10414..10482	product	tRNA-Arg
	tRNA	12154..12222	product	tRNA-His
	tRNA	12223..12290	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12294..12365	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14723..14790)	product	tRNA-Glu
	tRNA	15937..16007	product	tRNA-Thr
	tRNA	complement(16007..16076)	product	tRNA-Pro
	D-loop	16077..16871	note	control region
