NC_013618_Congriscus_sp_Tht2	TOPOLOGY		circular	
	source	1..17617	ff_definition	NC_013618_Congriscus_sp_Tht2 mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_013618_Congriscus_sp_Tht2
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2864..3832	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4045..5089	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5089,aa:TERM)
			transl_table	2
	CDS	5489..7084	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7225..7915	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7915,aa:TERM)
			transl_table	2
	CDS	7993..8160	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8151..8833	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8832..8833,aa:TERM)
			transl_table	2
	CDS	8834..9618	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9617..9618,aa:TERM)
			transl_table	2
	CDS	9691..10039	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10039,aa:TERM)
			transl_table	2
	CDS	10110..10406	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10400..11780	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11780,aa:TERM)
			transl_table	2
	CDS	11993..13834	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	13887..15026	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	CDS	complement(16053..16571)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	rRNA	69..1024	product	12S rRNA
	rRNA	1096..2788	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1025..1095	product	tRNA-Val
	tRNA	2789..2863	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3834..3906	product	tRNA-Ile
	tRNA	complement(3906..3976)	product	tRNA-Gln
	tRNA	3976..4044	product	tRNA-Met
	tRNA	5090..5159	product	tRNA-Trp
	tRNA	complement(5163..5231)	product	tRNA-Ala
	tRNA	complement(5233..5305)	product	tRNA-Asn
	tRNA	complement(5351..5416)	product	tRNA-Cys
	tRNA	complement(5417..5487)	product	tRNA-Tyr
	tRNA	complement(7072..7142)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7148..7217	product	tRNA-Asp
	tRNA	7916..7991	product	tRNA-Lys
	tRNA	9619..9690	product	tRNA-Gly
	tRNA	10040..10109	product	tRNA-Arg
	tRNA	11781..11849	product	tRNA-His
	tRNA	11850..11919	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11920..11992	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	15029..15100	product	tRNA-Thr
	tRNA	complement(16572..16640)	product	tRNA-Glu
	tRNA	complement(16649..16718)	product	tRNA-Pro
	D-loop	15101..16052	note	control region
	D-loop	16719..17617	note	control region
