NC_005298_Saccopharynx_lavenbergi	TOPOLOGY		circular	
	source	1..18495	ff_definition	NC_005298_Saccopharynx_lavenbergi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_005298_Saccopharynx_lavenbergi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2845..3813	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4080..4265	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	4250..4938	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:4937..4938,aa:TERM)
			transl_table	2
	CDS	4939..5723	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:5722..5723,aa:TERM)
			transl_table	2
	CDS	5793..6143	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	6829..8679	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(8659..9183)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	10535..11584	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	11897..13612	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	13749..14439	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:14439,aa:TERM)
			transl_table	2
	CDS	14596..14892	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	14886..16266	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:16266,aa:TERM)
			transl_table	2
	CDS	16489..17658	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1007	product	12S rRNA
	rRNA	1077..2844	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1008..1076	product	tRNA-Val
	tRNA	complement(3821..3891)	product	tRNA-Gln
	tRNA	3904..3974	product	tRNA-Trp
	tRNA	5724..5792	product	tRNA-Gly
	tRNA	6173..6245	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	6395..6462	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	6761..6828	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	9238..9307	product	tRNA-Thr
	tRNA	complement(9315..9384)	product	tRNA-Pro
	tRNA	10377..10449	product	tRNA-Ile
	tRNA	10466..10534	product	tRNA-Met
	tRNA	complement(11596..11664)	product	tRNA-Ala
	tRNA	complement(11668..11738)	product	tRNA-Asn
	tRNA	complement(11758..11824)	product	tRNA-Cys
	tRNA	complement(11825..11895)	product	tRNA-Tyr
	tRNA	complement(13603..13671)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	13674..13744	product	tRNA-Asp
	tRNA	14440..14509	product	tRNA-Lys
	tRNA	14524..14593	product	tRNA-Arg
	tRNA	16267..16334	product	tRNA-His
	tRNA	16335..16403	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	complement(16416..16484)	product	tRNA-Glu
	D-loop	9385..10376	note	control region
	D-loop	17659..18495	note	control region
