NC_021390_Scomberomorus_munroi	TOPOLOGY		circular	
	source	1..16796	ff_definition	NC_021390_Scomberomorus_munroi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_021390_Scomberomorus_munroi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2885..3859	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4072..5117	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5116..5117,aa:TERM)
			transl_table	2
	CDS	5504..7069	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7219..7909	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7909,aa:TERM)
			transl_table	2
	CDS	7986..8153	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8144..8827	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8848..9632	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9631..9632,aa:TERM)
			transl_table	2
	CDS	9705..10053	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10053,aa:TERM)
			transl_table	2
	CDS	10123..10419	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10413..11793	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11793,aa:TERM)
			transl_table	2
	CDS	12008..13846	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13843..14364)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14438..15581	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15581,aa:TERM)
			transl_table	2
	rRNA	70..1037	product	12S rRNA
	rRNA	1110..2810	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1038..1109	product	tRNA-Val
	tRNA	2811..2884	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3864..3934	product	tRNA-Ile
	tRNA	complement(3933..4003)	product	tRNA-Gln
	tRNA	4003..4071	product	tRNA-Met
	tRNA	5118..5190	product	tRNA-Trp
	tRNA	complement(5192..5260)	product	tRNA-Ala
	tRNA	complement(5262..5334)	product	tRNA-Asn
	tRNA	complement(5368..5434)	product	tRNA-Cys
	tRNA	complement(5435..5502)	product	tRNA-Tyr
	tRNA	complement(7061..7132)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7137..7210	product	tRNA-Asp
	tRNA	7910..7984	product	tRNA-Lys
	tRNA	9633..9704	product	tRNA-Gly
	tRNA	10054..10122	product	tRNA-Arg
	tRNA	11794..11863	product	tRNA-His
	tRNA	11864..11930	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11935..12007	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14365..14433)	product	tRNA-Glu
	tRNA	15582..15657	product	tRNA-Thr
	tRNA	complement(15662..15732)	product	tRNA-Pro
			note	Atypical anticodon: CGG
	D-loop	15733..16796	note	control region
