NC_021443_Alopias_superciliosus	TOPOLOGY		circular	
	source	1..16719	ff_definition	NC_021443_Alopias_superciliosus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_021443_Alopias_superciliosus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2833..3807	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4018..5060	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5059..5060,aa:TERM)
			transl_table	2
	CDS	5447..7000	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7152..7842	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7842,aa:TERM)
			transl_table	2
	CDS	7918..8085	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8076..8758	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8757..8758,aa:TERM)
			transl_table	2
	CDS	8759..9544	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9616..9964	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9964,aa:TERM)
			transl_table	2
	CDS	10035..10331	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10325..11705	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11705,aa:TERM)
			transl_table	2
	CDS	11914..13743	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13739..14260)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14333..15477	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15476..15477,aa:TERM)
			transl_table	2
	rRNA	71..1022	product	12S rRNA
	rRNA	1095..2757	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1023..1094	product	tRNA-Val
	tRNA	2758..2832	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3810..3878	product	tRNA-Ile
	tRNA	complement(3877..3948)	product	tRNA-Gln
	tRNA	3949..4017	product	tRNA-Met
	tRNA	5061..5131	product	tRNA-Trp
	tRNA	complement(5133..5201)	product	tRNA-Ala
	tRNA	complement(5202..5274)	product	tRNA-Asn
	tRNA	complement(5308..5374)	product	tRNA-Cys
	tRNA	complement(5376..5445)	product	tRNA-Tyr
	tRNA	complement(7003..7073)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7078..7147	product	tRNA-Asp
	tRNA	7843..7916	product	tRNA-Lys
	tRNA	9547..9615	product	tRNA-Gly
	tRNA	9965..10034	product	tRNA-Arg
	tRNA	11706..11774	product	tRNA-His
	tRNA	11775..11841	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11842..11913	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14261..14330)	product	tRNA-Glu
	tRNA	15478..15551	product	tRNA-Thr
	tRNA	complement(15589..15657)	product	tRNA-Pro
	D-loop	15658..16719	note	control region
