NC_012715_Xenomystus_nigri	TOPOLOGY		circular	
	source	1..16635	ff_definition	NC_012715_Xenomystus_nigri mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_012715_Xenomystus_nigri
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2903..3877	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4090..5134	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5134,aa:TERM)
			transl_table	2
	CDS	5520..7067	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7217..7904	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7904,aa:TERM)
			transl_table	2
	CDS	7980..8147	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8138..8820	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8819..8820,aa:TERM)
			transl_table	2
	CDS	8821..9606	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9679..10024	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10024,aa:TERM)
			transl_table	2
	CDS	10095..10391	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10385..11765	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11765,aa:TERM)
			transl_table	2
	CDS	11977..13818	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13814..14335)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14409..15549	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15549,aa:TERM)
			transl_table	2
	rRNA	70..1047	product	12S rRNA
	rRNA	1120..2817	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1048..1119	product	tRNA-Val
	tRNA	2818..2893	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3880..3951	product	tRNA-Ile
	tRNA	complement(3951..4021)	product	tRNA-Gln
	tRNA	4021..4089	product	tRNA-Met
	tRNA	5135..5204	product	tRNA-Trp
	tRNA	complement(5206..5274)	product	tRNA-Ala
	tRNA	complement(5276..5348)	product	tRNA-Asn
	tRNA	complement(5382..5447)	product	tRNA-Cys
	tRNA	complement(5448..5518)	product	tRNA-Tyr
	tRNA	complement(7068..7138)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7142..7213	product	tRNA-Asp
	tRNA	7905..7978	product	tRNA-Lys
	tRNA	9607..9678	product	tRNA-Gly
	tRNA	10025..10094	product	tRNA-Arg
	tRNA	11766..11834	product	tRNA-His
	tRNA	11835..11903	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11904..11976	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14336..14403)	product	tRNA-Glu
	tRNA	15550..15621	product	tRNA-Thr
	tRNA	complement(15623..15692)	product	tRNA-Pro
	D-loop	15693..16635	note	control region
