NC_022491_Promethichthys_prometheus	TOPOLOGY		circular	
	source	1..16810	ff_definition	NC_022491_Promethichthys_prometheus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_022491_Promethichthys_prometheus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2903..3877	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4094..5138	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5138,aa:TERM)
			transl_table	2
	CDS	5519..7078	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7223..7913	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7913,aa:TERM)
			transl_table	2
	CDS	7990..8157	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8148..8830	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8829..8830,aa:TERM)
			transl_table	2
	CDS	8831..9619	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9744..10092	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10092,aa:TERM)
			transl_table	2
	CDS	10162..10458	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10452..11832	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11832,aa:TERM)
			transl_table	2
	CDS	12051..13889	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13886..14407)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14481..15621	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15621,aa:TERM)
			transl_table	2
	rRNA	72..1036	product	12S rRNA
	rRNA	1109..2824	product	16S rRNA
	tRNA	1..71	product	tRNA-Phe
	tRNA	1037..1108	product	tRNA-Val
	tRNA	2825..2899	product	tRNA-Leu
			note	Atypical codon: UAA
	tRNA	3882..3951	product	tRNA-Ile
	tRNA	complement(3952..4023)	product	tRNA-Gln
	tRNA	4023..4093	product	tRNA-Met
	tRNA	5139..5209	product	tRNA-Trp
	tRNA	complement(5213..5280)	product	tRNA-Ala
	tRNA	complement(5282..5354)	product	tRNA-Asn
	tRNA	complement(5382..5448)	product	tRNA-Cys
	tRNA	complement(5449..5517)	product	tRNA-Tyr
	tRNA	complement(7070..7140)	product	tRNA-Ser
			note	Atypical codon: UGA
	tRNA	7144..7217	product	tRNA-Asp
	tRNA	7914..7988	product	tRNA-Lys
	tRNA	9671..9742	product	tRNA-Gly
	tRNA	10093..10161	product	tRNA-Arg
	tRNA	11833..11902	product	tRNA-His
	tRNA	11903..11971	product	tRNA-Ser
			note	Atypical codon: GCU
	tRNA	11976..12048	product	tRNA-Leu
			note	Atypical codon: UAG
	tRNA	complement(14408..14476)	product	tRNA-Glu
	tRNA	15622..15695	product	tRNA-Thr
	tRNA	complement(15695..15763)	product	tRNA-Pro
	D-loop	15764..16810	note	control region
