NC_028287_Centropyge_bispinosa	TOPOLOGY		circular	
	source	1..16772	ff_definition	NC_028287_Centropyge_bispinosa mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_028287_Centropyge_bispinosa
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	3048..4022	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4235..5281	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5694..7244	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7401..8091	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:8091,aa:TERM)
			transl_table	2
	CDS	8168..8335	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8326..9008	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:9007..9008,aa:TERM)
			transl_table	2
	CDS	9009..9793	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9792..9793,aa:TERM)
			transl_table	2
	CDS	9866..10214	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10214,aa:TERM)
			transl_table	2
	CDS	10284..10580	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10574..11954	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11954,aa:TERM)
			transl_table	2
	CDS	12168..14006	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14003..14524)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14598..15738	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15738,aa:TERM)
			transl_table	2
	rRNA	69..1020	product	12S rRNA
	rRNA	1270..2970	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1021..1093	product	tRNA-Val
	tRNA	2972..3047	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	4026..4095	product	tRNA-Ile
	tRNA	complement(4095..4165)	product	tRNA-Gln
	tRNA	4165..4234	product	tRNA-Met
	tRNA	5300..5373	product	tRNA-Trp
	tRNA	complement(5374..5442)	product	tRNA-Ala
	tRNA	complement(5444..5516)	product	tRNA-Asn
	tRNA	complement(5555..5622)	product	tRNA-Cys
	tRNA	complement(5623..5692)	product	tRNA-Tyr
	tRNA	complement(7247..7317)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7322..7393	product	tRNA-Asp
	tRNA	8092..8166	product	tRNA-Lys
	tRNA	9794..9865	product	tRNA-Gly
	tRNA	10215..10283	product	tRNA-Arg
	tRNA	11955..12024	product	tRNA-His
	tRNA	12025..12091	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	12095..12167	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14525..14593)	product	tRNA-Glu
	tRNA	15739..15810	product	tRNA-Thr
	tRNA	complement(15810..15879)	product	tRNA-Pro
	D-loop	15880..16772	note	control region
