NC_007230_Plesiobatis_daviesi	TOPOLOGY		circular	
	source	1..17514	ff_definition	NC_007230_Plesiobatis_daviesi mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_007230_Plesiobatis_daviesi
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2874..3851	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4068..5111	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5503..7053	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7202..7892	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7892,aa:TERM)
			transl_table	2
	CDS	7966..8133	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8124..8806	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8805..8806,aa:TERM)
			transl_table	2
	CDS	8807..9592	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9664..10012	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10012,aa:TERM)
			transl_table	2
	CDS	10085..10381	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10375..11755	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11755,aa:TERM)
			transl_table	2
	CDS	11966..13789	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13786..14307)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14382..15527	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	71..1036	product	12S rRNA
	rRNA	1109..2798	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1037..1108	product	tRNA-Val
	tRNA	2799..2873	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3854..3922	product	tRNA-Ile
	tRNA	complement(3925..3996)	product	tRNA-Gln
	tRNA	3998..4067	product	tRNA-Met
	tRNA	5112..5181	product	tRNA-Trp
	tRNA	complement(5183..5251)	product	tRNA-Ala
	tRNA	complement(5253..5325)	product	tRNA-Asn
	tRNA	complement(5360..5427)	product	tRNA-Cys
	tRNA	complement(5431..5501)	product	tRNA-Tyr
	tRNA	complement(7059..7129)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7130..7198	product	tRNA-Asp
	tRNA	7893..7964	product	tRNA-Lys
	tRNA	9593..9663	product	tRNA-Gly
	tRNA	10013..10083	product	tRNA-Arg
	tRNA	11756..11824	product	tRNA-His
	tRNA	11825..11892	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11894..11965	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14308..14376)	product	tRNA-Glu
	tRNA	15534..15607	product	tRNA-Thr
	tRNA	complement(15617..15684)	product	tRNA-Pro
	D-loop	15685..17514	note	control region
