NC_036056_Odontobutis_haifengensis	TOPOLOGY		circular	
	source	1..17016	ff_definition	NC_036056_Odontobutis_haifengensis mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_036056_Odontobutis_haifengensis
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2845..3821	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3820..3821,aa:TERM)
			transl_table	2
	CDS	4029..5074	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5073..5074,aa:TERM)
			transl_table	2
	CDS	5461..7014	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7162..7852	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7852,aa:TERM)
			transl_table	2
	CDS	7929..8093	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8087..8769	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8768..8769,aa:TERM)
			transl_table	2
	CDS	8770..9554	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9553..9554,aa:TERM)
			transl_table	2
	CDS	9625..9970	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9970,aa:TERM)
			transl_table	2
	CDS	10040..10336	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10330..11715	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			transl_table	2
	CDS	12472..14310	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(14307..14828)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14902..16042	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:16042,aa:TERM)
			transl_table	2
	rRNA	78..1029	product	12S rRNA
	rRNA	1101..2771	product	16S rRNA
	tRNA	1..77	product	tRNA-Phe
	tRNA	1030..1100	product	tRNA-Val
	tRNA	2772..2844	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3822..3891	product	tRNA-Ile
	tRNA	complement(3891..3960)	product	tRNA-Gln
	tRNA	3960..4028	product	tRNA-Met
	tRNA	5075..5146	product	tRNA-Trp
	tRNA	complement(5151..5220)	product	tRNA-Ala
	tRNA	complement(5222..5294)	product	tRNA-Asn
	tRNA	complement(5327..5392)	product	tRNA-Cys
	tRNA	complement(5393..5459)	product	tRNA-Tyr
	tRNA	complement(7015..7085)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7089..7156	product	tRNA-Asp
	tRNA	7853..7927	product	tRNA-Lys
	tRNA	9555..9624	product	tRNA-Gly
	tRNA	9971..10039	product	tRNA-Arg
	tRNA	11766..11833	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11835..11906	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	12323..12391	product	tRNA-His
	tRNA	complement(14829..14896)	product	tRNA-Glu
	tRNA	16043..16114	product	tRNA-Thr
	tRNA	complement(16117..16186)	product	tRNA-Pro
	D-loop	16187..17016	note	control region
