NC_034339_Lates_japonicus	TOPOLOGY		circular	
	source	1..16590	ff_definition	NC_034339_Lates_japonicus mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_034339_Lates_japonicus
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2899..3873	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4089..5135	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			transl_table	2
	CDS	5529..7079	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7231..7921	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7921,aa:TERM)
			transl_table	2
	CDS	8000..8167	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8152..8840	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8839..8840,aa:TERM)
			transl_table	2
	CDS	8841..9625	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9624..9625,aa:TERM)
			transl_table	2
	CDS	9698..10046	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:10046,aa:TERM)
			transl_table	2
	CDS	10116..10412	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10406..11786	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11786,aa:TERM)
			transl_table	2
	CDS	12001..13836	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13833..14354)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14428..15568	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15568,aa:TERM)
			transl_table	2
	rRNA	69..1023	product	12S rRNA
	rRNA	1097..2823	product	16S rRNA
	tRNA	1..68	product	tRNA-Phe
	tRNA	1024..1096	product	tRNA-Val
	tRNA	2824..2898	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3877..3947	product	tRNA-Ile
	tRNA	complement(3949..4019)	product	tRNA-Gln
	tRNA	4019..4088	product	tRNA-Met
	tRNA	5136..5207	product	tRNA-Trp
	tRNA	complement(5210..5278)	product	tRNA-Ala
	tRNA	complement(5280..5352)	product	tRNA-Asn
	tRNA	complement(5391..5457)	product	tRNA-Cys
	tRNA	complement(5458..5527)	product	tRNA-Tyr
	tRNA	complement(7080..7150)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7153..7222	product	tRNA-Asp
	tRNA	7922..7997	product	tRNA-Lys
	tRNA	9626..9697	product	tRNA-Gly
	tRNA	10047..10115	product	tRNA-Arg
	tRNA	11787..11855	product	tRNA-His
	tRNA	11856..11923	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11928..12000	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14355..14423)	product	tRNA-Glu
	tRNA	15569..15640	product	tRNA-Thr
	tRNA	complement(15640..15711)	product	tRNA-Pro
	D-loop	15712..16590	note	control region
