NC_006917_Jenkinsia_lamprotaenia	TOPOLOGY		circular	
	source	1..16784	ff_definition	NC_006917_Jenkinsia_lamprotaenia mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_006917_Jenkinsia_lamprotaenia
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2832..3805	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			note	Incomplete stop codon
			transl_except	(pos:3804..3805,aa:TERM)
			transl_table	2
	CDS	4019..5063	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5063,aa:TERM)
			transl_table	2
	CDS	5450..7000	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7154..7844	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7844,aa:TERM)
			transl_table	2
	CDS	7920..8087	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8078..8760	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			note	Incomplete stop codon
			transl_except	(pos:8759..8760,aa:TERM)
			transl_table	2
	CDS	8761..9544	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			note	Incomplete stop codon
			transl_except	(pos:9544,aa:TERM)
			transl_table	2
	CDS	9617..9965	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			note	Incomplete stop codon
			transl_except	(pos:9965,aa:TERM)
			transl_table	2
	CDS	10035..10331	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10325..11706	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11705..11706,aa:TERM)
			transl_table	2
	CDS	11916..13751	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13748..14269)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14343..15483	codon_start	1
			gene	Cyt b
			product	cytochrome b
			note	Incomplete stop codon
			transl_except	(pos:15483,aa:TERM)
			transl_table	2
	rRNA	71..1014	product	12S rRNA
	rRNA	1087..2756	product	16S rRNA
	tRNA	1..70	product	tRNA-Phe
	tRNA	1015..1086	product	tRNA-Val
	tRNA	2757..2831	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3806..3877	product	tRNA-Ile
	tRNA	complement(3880..3950)	product	tRNA-Gln
	tRNA	3950..4018	product	tRNA-Met
	tRNA	5064..5135	product	tRNA-Trp
	tRNA	complement(5137..5205)	product	tRNA-Ala
	tRNA	complement(5207..5279)	product	tRNA-Asn
	tRNA	complement(5311..5376)	product	tRNA-Cys
	tRNA	complement(5378..5448)	product	tRNA-Tyr
	tRNA	complement(7001..7071)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7076..7143	product	tRNA-Asp
	tRNA	7845..7918	product	tRNA-Lys
	tRNA	9545..9616	product	tRNA-Gly
	tRNA	9966..10034	product	tRNA-Arg
	tRNA	11707..11776	product	tRNA-His
	tRNA	11777..11843	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11844..11915	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14270..14338)	product	tRNA-Glu
	tRNA	15484..15553	product	tRNA-Thr
	tRNA	complement(15553..15622)	product	tRNA-Pro
	D-loop	15623..16784	note	control region
