NC_028325_Himantura_uarnak	TOPOLOGY		circular	
	source	1..17690	ff_definition	NC_028325_Himantura_uarnak mitochondrial DNA, ???
			organelle	mitochondrion
			organism	NC_028325_Himantura_uarnak
			specimen_voucher	???
			mol_type	genomic DNA
	CDS	2874..3848	codon_start	1
			gene	ND1
			product	NADH dehydrogenase subunit 1
			transl_table	2
	CDS	4075..5120	codon_start	1
			gene	ND2
			product	NADH dehydrogenase subunit 2
			note	Incomplete stop codon
			transl_except	(pos:5119..5120,aa:TERM)
			transl_table	2
	CDS	5518..7074	codon_start	1
			gene	COI
			product	cytochrome c oxidase subunit I
			transl_table	2
	CDS	7227..7917	codon_start	1
			gene	COII
			product	cytochrome c oxidase subunit II
			note	Incomplete stop codon
			transl_except	(pos:7917,aa:TERM)
			transl_table	2
	CDS	7993..8160	codon_start	1
			gene	ATPase 8
			product	ATPase subunit 8
			transl_table	2
	CDS	8151..8834	codon_start	1
			gene	ATPase 6
			product	ATPase subunit 6
			transl_table	2
	CDS	8837..9622	codon_start	1
			gene	COIII
			product	cytochrome c oxidase subunit III
			transl_table	2
	CDS	9695..10045	codon_start	1
			gene	ND3
			product	NADH dehydrogenase subunit 3
			transl_table	2
	CDS	10122..10418	codon_start	1
			gene	ND4L
			product	NADH dehydrogenase subunit 4L
			transl_table	2
	CDS	10412..11792	codon_start	1
			gene	ND4
			product	NADH dehydrogenase subunit 4
			note	Incomplete stop codon
			transl_except	(pos:11792,aa:TERM)
			transl_table	2
	CDS	12006..13853	codon_start	1
			gene	ND5
			product	NADH dehydrogenase subunit 5
			transl_table	2
	CDS	complement(13850..14371)	codon_start	1
			gene	ND6
			product	NADH dehydrogenase subunit 6
			transl_table	2
	CDS	14450..15592	codon_start	1
			gene	Cyt b
			product	cytochrome b
			transl_table	2
	rRNA	70..1037	product	12S rRNA
	rRNA	1110..2797	product	16S rRNA
	tRNA	1..69	product	tRNA-Phe
	tRNA	1038..1109	product	tRNA-Val
	tRNA	2798..2872	product	tRNA-Leu
			note	Anticodon: UAA
	tRNA	3854..3923	product	tRNA-Ile
	tRNA	complement(3931..4002)	product	tRNA-Gln
	tRNA	4004..4074	product	tRNA-Met
	tRNA	5121..5190	product	tRNA-Trp
	tRNA	complement(5193..5261)	product	tRNA-Ala
	tRNA	complement(5268..5340)	product	tRNA-Asn
	tRNA	complement(5376..5443)	product	tRNA-Cys
	tRNA	complement(5447..5516)	product	tRNA-Tyr
	tRNA	complement(7081..7151)	product	tRNA-Ser
			note	Anticodon: UGA
	tRNA	7152..7222	product	tRNA-Asp
	tRNA	7918..7991	product	tRNA-Lys
	tRNA	9625..9694	product	tRNA-Gly
	tRNA	10051..10121	product	tRNA-Arg
	tRNA	11793..11861	product	tRNA-His
	tRNA	11863..11931	product	tRNA-Ser
			note	Anticodon: GCU
	tRNA	11934..12005	product	tRNA-Leu
			note	Anticodon: UAG
	tRNA	complement(14372..14440)	product	tRNA-Glu
	tRNA	15608..15680	product	tRNA-Thr
	tRNA	complement(15690..15759)	product	tRNA-Pro
	D-loop	15760..17690	note	control region
